# Rime user dictionary
#@/db_name	terra_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	4257
#@/user_id	e046fdd6-b287-4fb1-baa6-1a5de5d90fd4
bu4 can1 jia1 	不參加	c=4 d=0.000825928 t=4257
bu4 cuo4 	不錯	c=1 d=0.228779 t=4257
bu4 dong3 	不懂	c=1 d=0.263158 t=4257
bu4 dui4 	不對	c=0 d=2.46086e-07 t=4257
bu4 fen4 	部分	c=1 d=0.0134044 t=4257
bu4 fen4 yuan2 yin1 	部分原因	c=1 d=0.13466 t=4257
bu4 gan1 jing4 	不乾淨	c=0 d=3.06694e-09 t=4257
bu4 gao1 	不高	c=0 d=0.0045275 t=4257
bu4 gou4 	不夠	c=0 d=1.86437e-06 t=4257
bu4 guo4 guan1 	不過關	c=1 d=2.60628e-05 t=4257
bu4 hao3 	不好	c=1 d=0.000452215 t=4257
bu4 hao3 yi4 si5 	不好意思	c=1 d=0.522046 t=4257
bu4 hui4 ba1 	不會吧	c=1 d=5.84555e-08 t=4257
bu4 jia4 	不嫁	c=0 d=3.80258e-09 t=4257
bu4 jian3 dan1 	不簡單	c=2 d=0.00848106 t=4257
bu4 jian4 yi4 	不建議	c=1 d=1.62081e-05 t=4257
bu4 jun1 yun2 	不均勻	c=1 d=0.00194013 t=4257
bu4 ke3 yi3 	不可以	c=1 d=0.000343955 t=4257
bu4 lai2 	不來	c=0 d=2.48678e-05 t=4257
bu4 leng3 	不冷	c=0 d=8.09042e-09 t=4257
bu4 ming2 xian3 	不明顯	c=1 d=9.65934e-05 t=4257
bu4 neng2 	不能	c=2 d=0.000463235 t=4257
bu4 neng2 yong4 	不能用	c=1 d=0.000378233 t=4257
bu4 neng2 zhang3 wo4 mou3 yi1 ge5 	不能掌握某一個	c=1 d=0.00465413 t=4257
bu4 qi3 lai2 	不起來	c=0 d=2.68566e-06 t=4257
bu4 ran2 	不然	c=0 d=3.80258e-09 t=4257
bu4 ran2 bu4 jia4 	不然不嫁	c=1 d=3.82164e-08 t=4257
bu4 ru2 	不如	c=0 d=1.3845e-05 t=4257
bu4 ru2 tui4 kuan3 	不如退款	c=1 d=0.000139144 t=4257
bu4 shi4 hen3 	不是很	c=0 d=0.00357931 t=4257
bu4 shi4 hen3 jing1 zhi4 	不是很精緻	c=1 d=0.0359725 t=4257
bu4 shou4 ying3 xiang3 	不受影響	c=2 d=1.96094e-05 t=4257
bu4 tong2 	不同	c=1 d=0.00167826 t=4257
bu4 wei4 	部位	c=1 d=0.637628 t=4257
bu4 wen3 ding4 	不穩定	c=1 d=1.22498e-05 t=4257
